id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All information in the model answer is directly supported by the provided chunks.,5,The answer directly and completely addresses the question by providing specific SLA times for P1 tickets.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically regarding the 7-day timeframe for refund requests.",5,The answer directly and completely addresses the question by stating the specific time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer incorrectly states that IT Security is required for Level 3 access approval, which is not mentioned in the provided chunks.",5,The answer directly and completely identifies the necessary approvals for granting Level 3 access.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable, but it implies a condition about manufacturer defects that is not explicitly mentioned in the retrieved chunks.",4,"The answer correctly states that digital products are generally non-refundable, but it could provide more detail on the conditions under which refunds might be possible.",5,Retrieved: 1/1 expected sources,4,"The model answer does not explicitly state that digital products are non-refundable as a general rule, and it does not mention that the exception applies specifically to license keys and subscriptions.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,4,"The answer correctly states that the account is locked after 5 failed login attempts, but it does not mention the specific method to unlock the account, which is to contact IT Helpdesk or reset via the SSO portal.",5,The answer directly and completely addresses the question about how many times a user can attempt to log in before the account is locked.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay. Quy trình xử lý sự cố P1 bao gồm các bước tiếp nhận, thông báo, triage và phân công, xử lý, và viết incident report sau khi khắc phục [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,4,"The answer accurately reflects the escalation process and the steps involved in handling a P1 incident, but it does not explicitly mention the time frame for the initial response and resolution, which is a minor detail.",5,"The answer directly and completely explains the escalation process for P1 incidents, including specific timeframes and steps involved.",5,Retrieved: 1/1 expected sources,4,The model answer does not explicitly mention that the ticket is created before the escalation process starts.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically mentioning the approval matrix and its applicability to all employees, contractors, and third-party vendors.",5,"The answer directly and completely defines what an Approval Matrix for system access is, including its purpose and applicability.",5,Retrieved: 1/1 expected sources,4,The model answer does not mention the new name of the document ('Access Control SOP') or the specific file name ('access-control-sop.md').,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in chunk [1] regarding remote work conditions.,5,The answer directly and completely addresses the question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,4,The requirement for Team Lead approval is not mentioned.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The model answer states 'Không đủ dữ liệu' which suggests a lack of relevant information, but the provided chunks contain specific details about access requests, password resets, and account lockout policies.",1,The answer does not provide any information about ERR-403-AUTH or how to handle it.,,No expected sources,3,The model answer does not mention the possibility of the error being related to authentication or suggest contacting IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"The answer 'Không đủ dữ liệu' does not accurately reflect the information provided in the chunks, which detail the refund process and conditions.",1,The response does not address the question at all.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the lack of a special process for VIP customers or the standard processing time of 3-5 business days for all refund requests.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,The answer accurately reflects the SLA for ticket P1 as stated in the retrieved chunks.,5,"The answer directly and completely provides the SLA for P1 tickets, including both initial response and resolution times.",5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically regarding the 7-day timeframe for refund requests.",5,The answer directly and completely addresses the question by stating the specific time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer incorrectly states that Level 3 requires approval from Line Manager, IT Admin, and IT Security, while the provided chunks do not specify the approval process for Level 3.",5,The answer directly and completely identifies the necessary approvals required for granting Level 3 access.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi sản phẩm bị lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable unless they are defective, but it does not explicitly mention the 7-day requirement for refund requests.",4,"The answer correctly states that digital products are generally non-refundable, but it could provide more detail on the conditions under which refunds might be possible.",5,Retrieved: 1/1 expected sources,4,"The model answer does not explicitly state that digital products are non-refundable as per the refund policy, which is a key point in the expected answer.",variant_dense_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the provided chunks, accurately reflecting the information about account lockout and the process to unlock it.",5,The answer directly and completely addresses the question about how many times a user can attempt to log in before the account is locked.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Phản hồi ban đầu phải được thực hiện trong 15 phút và xử lý khắc phục trong 4 giờ [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,All information in the model answer is directly supported by the provided chunks.,5,"The answer directly and completely explains the escalation process for a P1 incident, including specific timeframes for response and escalation.",5,Retrieved: 1/1 expected sources,4,The model answer does not mention the initial response time of 15 minutes and the resolution time of 4 hours.,variant_dense_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The model answer accurately reflects the information provided in chunk [1], which discusses the process for granting access to internal systems.",5,"The answer directly and completely defines what an Approval Matrix for system access is, including its purpose.",5,Retrieved: 1/1 expected sources,4,The model answer does not mention the new name 'Access Control SOP'.,variant_dense_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi qua probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in chunk [1] regarding remote work conditions and approval process.,5,The answer directly and completely addresses the question about the maximum number of remote days per week for employees.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",2,"The model answer 'Không đủ dữ liệu' does not accurately reflect the information provided in the chunks, as there are specific details about access levels, refund conditions, and email troubleshooting that are relevant.",1,The response does not provide any information about the ERR-403-AUTH error or how to handle it.,,No expected sources,2,The model answer does not mention the specific error code ERR-403-AUTH or suggest contacting IT Helpdesk for assistance.,variant_dense_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"Significant information not found in retrieved chunks, as the model answer states 'Không đủ dữ liệu' which does not align with the content provided.",1,The response does not address the question at all.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the lack of a special process for VIP customers or the standard processing time of 3-5 business days for all refund requests.,variant_dense_rerank
